"The Day Ahead Auction prices for the following bidding zones is published without any change under the CC BY 4.0 (creativecommons.org/licenses/by/4.0) license with the source Bundesnetzagentur | SMARD.de: AT, BE, CH, CZ, DE-LU, DE-AT-LU, DK1, DK2, FR, HU, IT-NORTH, NL, NO2, PL, SE4, SI",,,,
Date (UTC),Nuclear,Non-Renewable,Renewable,Day Ahead Auction (NL)
,Power (MW),Power (MW),Power (MW),"Price (EUR/MWh, EUR/tCO2)"
2025-07-31T22:00+00:00,466.0525,7885.64,1003.58,105.47
2025-07-31T23:00+00:00,465.915,7464.1575,1020.1275,98.54
2025-08-01T00:00+00:00,465.9175,7162.5775,1168.8325,92.15
2025-08-01T01:00+00:00,465.9325,7202.64375,1284.44375,89.01
2025-08-01T02:00+00:00,465.9425,7401.76625,1361.83625,90.67
2025-08-01T03:00+00:00,465.98,7453.50625,1450.47625,97.56
2025-08-01T04:00+00:00,466.4925,7979.995,2075.775,104.3
2025-08-01T05:00+00:00,466.63,8429.43625,2810.14875,108
2025-08-01T06:00+00:00,467.0175,9858.19375,2871.82375,106.64
2025-08-01T07:00+00:00,467.0125,10235.2925,3084.5775,103.67
2025-08-01T08:00+00:00,467.12,10116.9,3587.91,97.95
2025-08-01T09:00+00:00,466.93,10403.6725,3295.865,84.1
2025-08-01T10:00+00:00,466.8925,11325.30625,3814.48875,69.76
2025-08-01T11:00+00:00,466.87,11715.95875,4009.25625,55.76
2025-08-01T12:00+00:00,466.8125,11798.82375,3824.70875,44.25
2025-08-01T13:00+00:00,466.6825,11489.41625,4765.85625,43.21
2025-08-01T14:00+00:00,466.4575,11115.86875,5116.42375,62.23
2025-08-01T15:00+00:00,466.4725,10756.4725,5139.8675,76.58
2025-08-01T16:00+00:00,466.53,10098.5825,4969.895,90.1
2025-08-01T17:00+00:00,466.6275,9597.2575,5092.725,109.51
2025-08-01T18:00+00:00,466.425,9035.77125,4884.10875,118.13
2025-08-01T19:00+00:00,466.735,8836.8925,4303.105,117.51
2025-08-01T20:00+00:00,466.685,8203.44875,4357.24375,110.72
2025-08-01T21:00+00:00,466.6625,7502.31625,4390.78625,102.73
2025-08-01T22:00+00:00,466.586,7285.626125,4046.031625,104.06
2025-08-01T23:00+00:00,466.589,5928.294625,4111.509125,98.54
2025-08-02T00:00+00:00,466.60275,4788.81775,4391.82425,94.88
2025-08-02T01:00+00:00,466.639,4321.717625,4926.421375,87.94
2025-08-02T02:00+00:00,466.7925,4029.494625,5143.334125,87.03
2025-08-02T03:00+00:00,466.64325,4137.355,4935.56875,86.4
2025-08-02T04:00+00:00,466.62325,4199.854125,5149.810375,86.96
2025-08-02T05:00+00:00,466.725,4908.568,5309.40425,80.78
2025-08-02T06:00+00:00,466.95825,5553.7855,5613.63425,75.51
2025-08-02T07:00+00:00,466.9445,6309.29475,5566.7305,59.76
2025-08-02T08:00+00:00,466.93825,7690.439875,5283.507625,28.59
2025-08-02T09:00+00:00,466.88825,9344.726125,3782.336375,5.68
2025-08-02T10:00+00:00,466.807,10924.1745,3589.34825,2.95
2025-08-02T11:00+00:00,466.78225,11662.0645,3434.23975,0
2025-08-02T12:00+00:00,466.8825,11454.23487,3585.710875,0
2025-08-02T13:00+00:00,466.78875,10513.684,3394.861,0
2025-08-02T14:00+00:00,466.805,9459.656875,4376.741375,4.44
2025-08-02T15:00+00:00,466.82525,7753.763375,4541.133625,52.46
2025-08-02T16:00+00:00,466.8855,7591.539125,4155.255875,83.08
2025-08-02T17:00+00:00,466.91875,7189.381125,4036.904125,108.91
2025-08-02T18:00+00:00,467.05575,6661.53925,3262.4945,116.15
2025-08-02T19:00+00:00,467.5255,5957.19575,2543.9865,110
2025-08-02T20:00+00:00,467.48725,5331.851625,2203.948375,105.22
2025-08-02T21:00+00:00,467.61125,4855.871875,2284.124125,97.58
2025-08-02T22:00+00:00,467.4275,3279.995,2470.3975,85.82
2025-08-02T23:00+00:00,467.4,2806.84875,3027.94875,77.52
2025-08-03T00:00+00:00,467.41,2755.41875,3543.71125,73.53
2025-08-03T01:00+00:00,467.395,2891.90125,3990.62125,65.97
2025-08-03T02:00+00:00,467.395,2873.1375,4078.69,62.72
2025-08-03T03:00+00:00,467.415,2706.05,4247.84,59.98
2025-08-03T04:00+00:00,467.44,2716.835,3518.1425,46.8
2025-08-03T05:00+00:00,467.48,3702.79,2752.225,32
2025-08-03T06:00+00:00,467.4875,5982.1275,2046.6275,6.16
2025-08-03T07:00+00:00,467.635,8700.51,1873.98,0
2025-08-03T08:00+00:00,467.495,10862.71375,2003.04125,-1.01
2025-08-03T09:00+00:00,467.4375,12243.735,2218.9425,-2.1
2025-08-03T10:00+00:00,467.385,12724.77,2339.025,-3
2025-08-03T11:00+00:00,467.345,12881.27375,2204.88625,-9.9
2025-08-03T12:00+00:00,467.33,12379.47625,2327.10625,-10.08
2025-08-03T13:00+00:00,467.2975,11435.8425,2474.3675,-4.98
2025-08-03T14:00+00:00,467.29,9931.485,3847.6375,-1.5
2025-08-03T15:00+00:00,467.2925,8655.10875,5010.80125,3.16
2025-08-03T16:00+00:00,467.0325,6054.595,5491.0425,66.2
2025-08-03T17:00+00:00,466.35,5181.83875,5369.02375,93.06
2025-08-03T18:00+00:00,466.3825,5020.02,4893.7225,100.86
2025-08-03T19:00+00:00,466.44,4495.435,4247.7325,96.07
2025-08-03T20:00+00:00,466.88,4288.66375,3822.32625,97.34
2025-08-03T21:00+00:00,466.925,3955.81,3169.4125,85.09
2025-08-03T22:00+00:00,466.93,3496.80375,2841.94125,81.05
2025-08-03T23:00+00:00,466.8825,3192.0175,2579.175,70.07
2025-08-04T00:00+00:00,466.82,2875.2575,2143.0425,69.97
2025-08-04T01:00+00:00,466.8675,2718.60875,1564.62625,74.22
2025-08-04T02:00+00:00,466.745,2834.01,1125.345,75.69
2025-08-04T03:00+00:00,466.7775,3225.8375,833.4675,85.45
2025-08-04T04:00+00:00,466.82,4182.16125,720.42625,98.08
2025-08-04T05:00+00:00,466.97,5299.8475,648.3975,106.76
2025-08-04T06:00+00:00,467.36,7322.40875,627.12375,105.06
2025-08-04T07:00+00:00,467.3975,8824.94,896.1375,100.92
2025-08-04T08:00+00:00,467.44,9176.03125,1244.41625,78.36
2025-08-04T09:00+00:00,467.3975,10079.8425,1859.91,49.54
2025-08-04T10:00+00:00,467.385,10542.98375,2787.40625,13.41
2025-08-04T11:00+00:00,467.51,10755.98625,3133.57375,4.05
2025-08-04T12:00+00:00,466.855,10169.5075,3672.13,0.65
2025-08-04T13:00+00:00,465.8325,9208.86875,4456.14625,0.02
2025-08-04T14:00+00:00,464.7725,8071.3675,5439.1925,11.19
2025-08-04T15:00+00:00,464.4925,6768.20625,6677.89875,38.28
2025-08-04T16:00+00:00,464.805,6070.76375,6888.51375,65.08
2025-08-04T17:00+00:00,466.0525,6053.62125,6903.30125,83.64
2025-08-04T18:00+00:00,466.225,5689.3875,6858.29,80.56
2025-08-04T19:00+00:00,466.37,5265.57125,6466.90875,73.79
2025-08-04T20:00+00:00,466.4075,5438.30875,5087.70625,67.05
2025-08-04T21:00+00:00,466.57,5021.71875,4006.21375,48.59
2025-08-04T22:00+00:00,466.625,3568.19875,3660.93625,20
2025-08-04T23:00+00:00,466.97,2844.63125,3884.23875,13.15
2025-08-05T00:00+00:00,466.975,2628.09125,4203.82875,13.62
2025-08-05T01:00+00:00,466.9575,2359.31375,4565.31625,20.46
2025-08-05T02:00+00:00,466.97,2436.66375,4659.20375,46.56
2025-08-05T03:00+00:00,466.96,2834.82625,4663.41625,67.84
2025-08-05T04:00+00:00,466.9425,3472.20375,4824.58375,82.81
2025-08-05T05:00+00:00,466.915,4521.2625,4862.0175,82.72
2025-08-05T06:00+00:00,467.1025,7108.54125,5059.62875,63.04
2025-08-05T07:00+00:00,467.0025,9764.775,4913.2375,3.51
2025-08-05T08:00+00:00,467.795,11324.2025,4690.12,-1.5
2025-08-05T09:00+00:00,470.9675,12526.61875,3614.85375,-6
2025-08-05T10:00+00:00,467.82,12584.70875,3541.87375,-12.22
2025-08-05T11:00+00:00,467.0375,12206.7675,3413.1125,-29.09
2025-08-05T12:00+00:00,467.04,11444.23625,3184.55875,-21.97
2025-08-05T13:00+00:00,466.995,10497.25625,3146.91125,-12.66
2025-08-05T14:00+00:00,466.9825,10543.45375,3815.86625,-11.2
2025-08-05T15:00+00:00,466.9425,8957.3525,4332.1,-1.73
2025-08-05T16:00+00:00,467.055,8167.40625,4203.62125,0.87
2025-08-05T17:00+00:00,466.9925,7294.29625,3801.78375,71.04
2025-08-05T18:00+00:00,466.9475,5619.165,3628.775,89.24
2025-08-05T19:00+00:00,466.985,5011.0175,4040.5025,104.27
2025-08-05T20:00+00:00,466.2625,4717.45875,3906.39125,97.25
2025-08-05T21:00+00:00,466.045,4047.5075,4209.145,84
2025-08-05T22:00+00:00,466.53,3324.21125,4163.52875,81
2025-08-05T23:00+00:00,466.58,2950.67,3776.125,58.07
2025-08-06T00:00+00:00,467.01,2931.18875,3558.27375,58.36
2025-08-06T01:00+00:00,467.0525,2649.40375,3547.14125,58.43
2025-08-06T02:00+00:00,467.2775,2847.3825,3192.315,58.65
