"The Day Ahead Auction prices for the following bidding zones is published without any change under the CC BY 4.0 (creativecommons.org/licenses/by/4.0) license with the source Bundesnetzagentur | SMARD.de: AT, BE, CH, CZ, DE-LU, DE-AT-LU, DK1, DK2, FR, HU, IT-NORTH, NL, NO2, PL, SE4, SI",,,,
Date (UTC),Nuclear,Non-Renewable,Renewable,Day Ahead Auction (NL)
,Power (MW),Power (MW),Power (MW),"Price (EUR/MWh, EUR/tCO2)"
2024-11-30T23:00+00:00,485.645,6788.9475,1432.39,99.66
2024-12-01T00:00+00:00,485.765,6444.18625,1605.45375,90.01
2024-12-01T01:00+00:00,485.755,5985.8825,1744.5675,88.14
2024-12-01T02:00+00:00,485.735,5682.79625,1777.75875,85.7
2024-12-01T03:00+00:00,485.6725,5307.2775,1945.2225,84.27
2024-12-01T04:00+00:00,485.4775,5528.05375,2214.97875,83.77
2024-12-01T05:00+00:00,485.2375,5994.3525,2446.7325,83.23
2024-12-01T06:00+00:00,485.215,6872.635,2739.6575,89.5
2024-12-01T07:00+00:00,485.0025,7459.42,3027.435,99.19
2024-12-01T08:00+00:00,485.0225,8490.2175,3055.13,94.6
2024-12-01T09:00+00:00,485.0975,9938.34125,3168.98625,89.3
2024-12-01T10:00+00:00,485.2175,10829.53625,3466.28875,82.38
2024-12-01T11:00+00:00,485.455,10908.6875,3659.775,85.25
2024-12-01T12:00+00:00,485.695,10260.40375,3888.86875,83.08
2024-12-01T13:00+00:00,485.7175,9284.5475,4372.9075,88.17
2024-12-01T14:00+00:00,485.68,8862.745,4714.94,105.25
2024-12-01T15:00+00:00,485.755,8696.56,5191.15,117.45
2024-12-01T16:00+00:00,485.46,8736.23125,5328.77375,117.8
2024-12-01T17:00+00:00,485.2725,8599.95125,5560.29875,123.27
2024-12-01T18:00+00:00,485.1075,8020.02375,5701.13375,112.31
2024-12-01T19:00+00:00,485.08,7572.91875,5581.79375,93.66
2024-12-01T20:00+00:00,485.105,7313.6125,5584.4975,86.01
2024-12-01T21:00+00:00,485.215,7380.32875,5470.45625,97.39
2024-12-01T22:00+00:00,485.32,6795.70625,5424.01875,85
2024-12-01T23:00+00:00,485.53,5826.18375,5231.28375,74.77
2024-12-02T00:00+00:00,485.9,5197.54875,5369.16375,66.21
2024-12-02T01:00+00:00,485.88,5077.23875,5342.51375,61.57
2024-12-02T02:00+00:00,485.84,4871.475,5537.185,46.5
2024-12-02T03:00+00:00,485.785,4943.5175,5445.2525,49.15
2024-12-02T04:00+00:00,485.635,5443.8225,5599.88,68.42
2024-12-02T05:00+00:00,485.4725,7192.4725,5340.4375,92.51
2024-12-02T06:00+00:00,485.2025,8912.05375,4847.14625,125.25
2024-12-02T07:00+00:00,485.0325,10355.65375,4727.02875,126.2
2024-12-02T08:00+00:00,485.01,10745.81125,4677.21375,123.94
2024-12-02T09:00+00:00,485.205,11031.00375,4253.04125,121.44
2024-12-02T10:00+00:00,485.2075,11208.4,4309.855,115.97
2024-12-02T11:00+00:00,485.3875,11697.6675,4171.3225,115.18
2024-12-02T12:00+00:00,485.6475,12015.5375,3828.945,126.4
2024-12-02T13:00+00:00,485.8,11597.45,3688.1275,134.05
2024-12-02T14:00+00:00,485.745,11332.365,3817.7025,141.93
2024-12-02T15:00+00:00,485.725,11836.96125,3746.74125,144.75
2024-12-02T16:00+00:00,485.6975,12111.36,3537.9775,147.07
2024-12-02T17:00+00:00,485.5225,11990.40375,3971.07375,148.28
2024-12-02T18:00+00:00,485.3325,12310.555,3961.92,138.77
2024-12-02T19:00+00:00,485.305,12173.2025,3418.85,121.13
2024-12-02T20:00+00:00,485.1625,11166.7,3292.78,113.41
2024-12-02T21:00+00:00,485.255,9778.0775,3866.5,112.54
2024-12-02T22:00+00:00,485.3625,8279.91,4128.9675,102.64
2024-12-02T23:00+00:00,485.4525,8479.465,5081.6725,110.93
2024-12-03T00:00+00:00,485.6575,8137.93125,5173.06625,90.9
2024-12-03T01:00+00:00,485.87,8133.62125,5370.16375,88
2024-12-03T02:00+00:00,485.8775,8237.55875,5245.91625,86.8
2024-12-03T03:00+00:00,485.8375,9063.94125,4713.41125,94.96
2024-12-03T04:00+00:00,485.925,9328.95,4515.445,102.56
2024-12-03T05:00+00:00,485.615,10801.82875,4517.14625,119.94
2024-12-03T06:00+00:00,485.28,12907.96,4406.1425,142
2024-12-03T07:00+00:00,485.0925,13249.0525,4144.5575,155.64
2024-12-03T08:00+00:00,485.025,12805.34125,3887.69125,151.09
2024-12-03T09:00+00:00,485.8875,13558.25375,3610.13625,142.29
2024-12-03T10:00+00:00,489.1325,14206.1675,3263.9,131.14
2024-12-03T11:00+00:00,485.9125,14496.43875,3035.30875,127.13
2024-12-03T12:00+00:00,485.4875,14123.0325,2812.675,141.62
2024-12-03T13:00+00:00,485.895,13518.86375,2383.95125,148
2024-12-03T14:00+00:00,485.8525,12960.83125,2177.61875,165.98
2024-12-03T15:00+00:00,485.8225,13604.92375,2224.65125,200.1
2024-12-03T16:00+00:00,485.6675,14848.11,2127.675,209.14
2024-12-03T17:00+00:00,485.4825,14849.69625,1888.00375,197.88
2024-12-03T18:00+00:00,485.295,15368.9,1961.6275,189.83
2024-12-03T19:00+00:00,485.125,15939.47125,1923.01375,168.44
2024-12-03T20:00+00:00,484.99,15657.20625,1910.17625,153.13
2024-12-03T21:00+00:00,485.055,14654.25125,1706.58625,142.08
2024-12-03T22:00+00:00,485.2675,14179.8275,1336.81,130.81
2024-12-03T23:00+00:00,485.2225,14094.7225,847.375,121
2024-12-04T00:00+00:00,485.3925,13920.10875,796.36125,116.66
2024-12-04T01:00+00:00,485.59,13664.4075,988.4175,112.79
2024-12-04T02:00+00:00,485.76,13404.16875,1247.84875,110
2024-12-04T03:00+00:00,485.715,13609.04625,1104.00375,111.64
2024-12-04T04:00+00:00,485.65,13963.92625,1041.13375,119.6
2024-12-04T05:00+00:00,485.58,14837.075,1033.6725,143.15
2024-12-04T06:00+00:00,485.325,15653.90125,1460.68625,202.14
2024-12-04T07:00+00:00,485.225,15319.68875,1652.16625,266.51
2024-12-04T08:00+00:00,484.925,15039.99,1393.235,244.05
2024-12-04T09:00+00:00,484.885,15213.0975,1293.6075,203.19
2024-12-04T10:00+00:00,484.93,15925.65625,977.67125,192.03
2024-12-04T11:00+00:00,485.0575,16068.02375,1002.99875,187.05
2024-12-04T12:00+00:00,485.2025,16043.2275,771.885,191.35
2024-12-04T13:00+00:00,485.4325,15546.4475,786.745,206.16
2024-12-04T14:00+00:00,485.7025,15102.23125,635.06875,227.83
2024-12-04T15:00+00:00,485.715,14939.32625,588.32625,250
2024-12-04T16:00+00:00,485.84,16557.42875,699.46375,279.69
2024-12-04T17:00+00:00,485.64,16930.08,974.36,225.24
2024-12-04T18:00+00:00,485.4525,16912.65875,1353.32375,194
2024-12-04T19:00+00:00,485.195,16612.7475,2010.605,158.8
2024-12-04T20:00+00:00,485.0075,15087.4725,2542.37,133
2024-12-04T21:00+00:00,484.98,13903.6875,3031.5375,120
2024-12-04T22:00+00:00,485.0375,12267.425,3576.9625,111
2024-12-04T23:00+00:00,485.13,10153.735,4204.57,114.77
2024-12-05T00:00+00:00,485.2575,9378.67125,4920.89625,105.74
2024-12-05T01:00+00:00,485.55,8629.92125,5417.33125,100.1
2024-12-05T02:00+00:00,485.6325,8740.595,5660.975,87.14
2024-12-05T03:00+00:00,485.64,8774.89375,5886.82625,76.94
2024-12-05T04:00+00:00,485.5675,9359.035,6015.35,77.7
2024-12-05T05:00+00:00,485.5175,10280.14875,6153.42125,91.3
2024-12-05T06:00+00:00,485.35,11608.62,6273.445,100.1
2024-12-05T07:00+00:00,485.0925,12324.5075,6365.15,128
2024-12-05T08:00+00:00,484.9375,12131.06,6464.0425,131.78
2024-12-05T09:00+00:00,484.7975,11975.85375,6481.78125,124.92
2024-12-05T10:00+00:00,484.9675,11602.84125,6395.72875,107.31
2024-12-05T11:00+00:00,484.89,11181.5775,6362.6075,103.5
2024-12-05T12:00+00:00,485.0875,10928.2675,6384.3825,104.32
2024-12-05T13:00+00:00,485.3775,10724.4625,6331.615,107.36
2024-12-05T14:00+00:00,485.5425,10616.94625,6253.17125,116.26
2024-12-05T15:00+00:00,485.65,10467.1925,6030.785,124.64
2024-12-05T16:00+00:00,485.4825,10599.22125,5983.53875,137.9
2024-12-05T17:00+00:00,485.6575,10884.74,6044.675,130
2024-12-05T18:00+00:00,485.6175,10449.065,6089.2775,115.21
2024-12-05T19:00+00:00,485.5825,9507.05125,6213.24375,101.91
2024-12-05T20:00+00:00,485.24,8446.23625,6344.35625,83.93
