"The Day Ahead Auction prices for the following bidding zones is published without any change under the CC BY 4.0 (creativecommons.org/licenses/by/4.0) license with the source Bundesnetzagentur | SMARD.de: AT, BE, CH, CZ, DE-LU, DE-AT-LU, DK1, DK2, FR, HU, IT-NORTH, NL, NO2, PL, SE4, SI",,,,
Date (UTC),Nuclear,Non-Renewable,Renewable,Day Ahead Auction (NL)
,Power (MW),Power (MW),Power (MW),"Price (EUR/MWh, EUR/tCO2)"
2025-01-31T23:00+00:00,486.67,12024.5575,500.185,137
2025-02-01T00:00+00:00,486.965,11330.67875,424.69125,129.48
2025-02-01T01:00+00:00,487.0125,11137.705,417.93,124.28
2025-02-01T02:00+00:00,487.2675,10922.905,395.92,118.72
2025-02-01T03:00+00:00,487.425,10714.995,418.16,116.2
2025-02-01T04:00+00:00,487.1975,10787.61125,309.56875,118.22
2025-02-01T05:00+00:00,487.1075,11111.61875,290.35125,126.61
2025-02-01T06:00+00:00,486.88,12148.5475,284.9825,144.74
2025-02-01T07:00+00:00,486.6725,12518.53875,359.27875,153.46
2025-02-01T08:00+00:00,486.5175,13237.74,522.9775,142.44
2025-02-01T09:00+00:00,486.5075,14153.55125,767.49625,128.4
2025-02-01T10:00+00:00,486.31,14816.0125,900.97,120.08
2025-02-01T11:00+00:00,486.465,15653.26875,894.05125,110.29
2025-02-01T12:00+00:00,486.6675,15291.17,763.58,103.4
2025-02-01T13:00+00:00,486.8675,14850.58875,623.19125,113.7
2025-02-01T14:00+00:00,487.21,14325.61,467.0225,126.73
2025-02-01T15:00+00:00,487.26,13973.4275,384.89,149.46
2025-02-01T16:00+00:00,487.2275,13998.18125,488.29625,163.39
2025-02-01T17:00+00:00,487.1225,14160.7425,794.0225,165.77
2025-02-01T18:00+00:00,487.095,13972.61375,960.87875,162.98
2025-02-01T19:00+00:00,486.7575,14145.805,1140.48,156.6
2025-02-01T20:00+00:00,486.5725,13982.81625,1238.78875,145.24
2025-02-01T21:00+00:00,486.475,13174.925,1604.265,141.73
2025-02-01T22:00+00:00,486.435,11858.5725,1807.91,131.74
2025-02-01T23:00+00:00,486.5025,11501.19125,2137.66875,133.26
2025-02-02T00:00+00:00,486.645,10649.98875,2001.74875,126.91
2025-02-02T01:00+00:00,486.765,10482.86875,1421.30125,122.99
2025-02-02T02:00+00:00,487.0175,10313.315,879.7175,120.66
2025-02-02T03:00+00:00,487.3275,10126.11375,668.03875,122.34
2025-02-02T04:00+00:00,487.16,10090.61625,747.27875,123.41
2025-02-02T05:00+00:00,487.0775,10229.9375,1022.01,128.09
2025-02-02T06:00+00:00,486.955,10615.7175,1077.16,135.9
2025-02-02T07:00+00:00,486.6875,10898.5275,1020.15,137.3
2025-02-02T08:00+00:00,486.525,11845.67125,1185.38875,137.7
2025-02-02T09:00+00:00,486.4025,13913.40625,1133.25125,130.04
2025-02-02T10:00+00:00,486.37,15322.8225,1035.4925,129.33
2025-02-02T11:00+00:00,486.355,16044.1475,867.6375,122.24
2025-02-02T12:00+00:00,486.6425,15371.52125,715.30375,111.88
2025-02-02T13:00+00:00,486.7075,14727.74875,600.30375,115.36
2025-02-02T14:00+00:00,486.9775,14066.325,441.1,124.01
2025-02-02T15:00+00:00,487.2425,14211.035,325.11,143.94
2025-02-02T16:00+00:00,487.24,15528.53125,328.20375,159.44
2025-02-02T17:00+00:00,487.19,16180.015,430.2725,171.2
2025-02-02T18:00+00:00,487.125,16530.05,496.5925,173.95
2025-02-02T19:00+00:00,486.955,16603.69125,462.49625,165.5
2025-02-02T20:00+00:00,486.7525,16422.525,481.7675,155.77
2025-02-02T21:00+00:00,486.745,16329.44875,579.03625,148.44
2025-02-02T22:00+00:00,486.5475,14197.2875,626.4775,133.24
2025-02-02T23:00+00:00,486.5675,13168.41875,743.43875,129.54
2025-02-03T00:00+00:00,486.64,12995.95625,1000.58625,126.63
2025-02-03T01:00+00:00,486.7575,13029.7875,1352.015,124.72
2025-02-03T02:00+00:00,486.91,13293.90125,1311.42875,120.04
2025-02-03T03:00+00:00,487.16,12979.25625,1278.73625,123.24
2025-02-03T04:00+00:00,487.255,14037.965,944.7125,127.77
2025-02-03T05:00+00:00,487.19,16579.5825,622.6675,159.18
2025-02-03T06:00+00:00,487.2175,16973.3725,604.5025,207.88
2025-02-03T07:00+00:00,486.7975,17387.62375,751.59125,243.23
2025-02-03T08:00+00:00,486.6475,18147.3775,1139.315,178.04
2025-02-03T09:00+00:00,486.44,19231.9525,1228.2975,149.95
2025-02-03T10:00+00:00,486.335,19400.73625,1242.67125,125.02
2025-02-03T11:00+00:00,486.295,19351.9475,1350.435,117.27
2025-02-03T12:00+00:00,486.3775,18907.20375,1232.66625,114.93
2025-02-03T13:00+00:00,486.52,18479.49,1236.6375,120
2025-02-03T14:00+00:00,486.7375,18055.5375,1288.5175,127.1
2025-02-03T15:00+00:00,487.1725,17239.9425,1302.055,160
2025-02-03T16:00+00:00,487.205,17665.4875,1315.5025,204.71
2025-02-03T17:00+00:00,487.185,18366.69875,1723.22875,200.73
2025-02-03T18:00+00:00,487.1275,18386.92375,1895.40375,201.1
2025-02-03T19:00+00:00,487.0975,18226.22,2063.0725,167.74
2025-02-03T20:00+00:00,486.92,17656.49625,2473.03125,153
2025-02-03T21:00+00:00,486.7,16420.9475,2389.87,139.5
2025-02-03T22:00+00:00,486.5725,13983.13625,2362.67625,135.81
2025-02-03T23:00+00:00,486.5675,12982.19,2467.0875,132.4
2025-02-04T00:00+00:00,486.755,11722.5825,2608.8075,125.54
2025-02-04T01:00+00:00,486.675,11641.725,2654.0975,123.18
2025-02-04T02:00+00:00,486.7825,11828.59875,2773.01875,123.99
2025-02-04T03:00+00:00,486.955,12102.38,2942.9025,123.25
2025-02-04T04:00+00:00,487.215,12963.66875,3061.03875,127.63
2025-02-04T05:00+00:00,487.1925,14582.05875,3358.41375,154.79
2025-02-04T06:00+00:00,487.0775,14775.855,3596.9,149.5
2025-02-04T07:00+00:00,488.105,15410.71875,3831.91625,211.99
2025-02-04T08:00+00:00,490.365,15533.3575,4038.29,163.31
2025-02-04T09:00+00:00,487.27,15497.08375,4047.40625,136.53
2025-02-04T10:00+00:00,486.5875,14295.035,4294.73,125
2025-02-04T11:00+00:00,486.5325,13891.70625,4791.16625,109.45
2025-02-04T12:00+00:00,486.465,13640.9,4921.3775,113.06
2025-02-04T13:00+00:00,486.4525,13810.50625,5091.98625,120.09
2025-02-04T14:00+00:00,486.585,13490.47875,5306.88375,119.15
2025-02-04T15:00+00:00,486.7825,13388.075,5341.1775,117
2025-02-04T16:00+00:00,486.9975,14751.25375,5458.36875,149.6
2025-02-04T17:00+00:00,487.0675,15601.825,5518.2725,175
2025-02-04T18:00+00:00,487.055,15787.37875,5770.70375,140
2025-02-04T19:00+00:00,487.1425,14597.38375,5865.95125,132.54
2025-02-04T20:00+00:00,486.8925,12744.5375,5739.66,131.96
2025-02-04T21:00+00:00,486.6975,11291.4275,5628.6225,115
2025-02-04T22:00+00:00,486.555,10465.56,5548.4575,94.9
2025-02-04T23:00+00:00,486.4525,9441.90625,5499.62875,94.84
2025-02-05T00:00+00:00,486.4525,9300.30625,5041.23125,98.84
2025-02-05T01:00+00:00,486.5075,9135.1375,4500.91,101.45
2025-02-05T02:00+00:00,486.5875,8847.615,3977.4425,99.9
2025-02-05T03:00+00:00,487.0325,9272.1,3681.1975,112.8
2025-02-05T04:00+00:00,486.95,10521.18625,3265.77375,121.71
2025-02-05T05:00+00:00,487.1275,12391.5425,2717.195,139.8
2025-02-05T06:00+00:00,487.0825,14490.78625,2342.65375,161.7
2025-02-05T07:00+00:00,486.9725,14849.40125,1783.92875,180.81
2025-02-05T08:00+00:00,487.0025,14981.49125,1430.28875,159.33
2025-02-05T09:00+00:00,486.7275,15454.40375,1215.07875,119.54
2025-02-05T10:00+00:00,486.585,16090.5175,1025.9075,100.95
2025-02-05T11:00+00:00,486.5025,16235.235,953.3475,100
2025-02-05T12:00+00:00,486.4525,16652.25875,1107.90875,111.85
2025-02-05T13:00+00:00,486.42,16356.7725,1036.41,128.85
2025-02-05T14:00+00:00,486.5225,16024.095,947.8625,144.12
2025-02-05T15:00+00:00,486.665,16156.08875,776.37375,159.08
2025-02-05T16:00+00:00,486.89,16455.09875,607.66125,176.77
2025-02-05T17:00+00:00,487.2275,16793.07125,495.98625,189.9
2025-02-05T18:00+00:00,487.17,16675.19375,418.82875,189.63
2025-02-05T19:00+00:00,487.145,16488.28125,410.00625,170
2025-02-05T20:00+00:00,487.08,16256.16625,425.21875,155.42
2025-02-05T21:00+00:00,486.905,15631.97875,496.74125,143.7
2025-02-05T22:00+00:00,486.72,14809.82625,555.43125,128.57
2025-02-05T23:00+00:00,486.565,14420.145,605.8375,133.67
2025-02-06T00:00+00:00,486.5025,14058.2125,740.17,126.84
2025-02-06T01:00+00:00,486.525,13977.5875,772.6,125
2025-02-06T02:00+00:00,486.6825,14222.48375,829.32625,125
2025-02-06T03:00+00:00,486.61,14303.8,1109.5275,125.01
2025-02-06T04:00+00:00,486.7025,14436.775,1438.3225,120.09
2025-02-06T05:00+00:00,486.92,15352.16375,1587.33625,135.25
2025-02-06T06:00+00:00,486.9775,16244.7725,1487.3325,180.09
2025-02-06T07:00+00:00,486.9575,16526.68625,1696.40625,216.65
2025-02-06T08:00+00:00,487.0175,16705.2075,1830.96,178.62
2025-02-06T09:00+00:00,486.91,17119.79875,2128.69375,156.3
2025-02-06T10:00+00:00,486.7575,17452.82125,2274.43625,122
2025-02-06T11:00+00:00,486.7325,17103.8675,2217.63,111.2
2025-02-06T12:00+00:00,486.5175,16888.995,2061.21,99.9
2025-02-06T13:00+00:00,486.4975,17156.2775,2453.38,119.29
2025-02-06T14:00+00:00,486.5025,16426.0575,3105.19,117.79
2025-02-06T15:00+00:00,486.5425,15796.74625,3645.77125,127
2025-02-06T16:00+00:00,486.4075,15875.02875,3887.50875,167.43
2025-02-06T17:00+00:00,486.8475,16262.7875,4707.2925,170.48
2025-02-06T18:00+00:00,487.0775,16519.08625,5430.72625,162.95
2025-02-06T19:00+00:00,487.16,16066.05375,5772.30875,140.38
2025-02-06T20:00+00:00,487.2425,14072.25875,5805.40125,129.75
2025-02-06T21:00+00:00,487.09,12400.25,5388.9325,132.9
2025-02-06T22:00+00:00,487.0025,10831.5625,5102.505,121.95
2025-02-06T23:00+00:00,486.82,9277.66875,5018.79375,126.05
2025-02-07T00:00+00:00,486.6825,8760.10125,5206.87125,112.7
2025-02-07T01:00+00:00,486.5225,8734.5125,5939.1175,108.82
2025-02-07T02:00+00:00,486.4875,8729.3,6199.725,105
2025-02-07T03:00+00:00,486.4825,8693.49125,6374.89125,104.67
2025-02-07T04:00+00:00,486.5575,8993.79125,6566.94875,105.31
2025-02-07T05:00+00:00,486.8075,9788.96625,6637.85375,113.29
2025-02-07T06:00+00:00,486.735,10781.55125,6755.29375,141.93
2025-02-07T07:00+00:00,486.83,11176.65125,6770.70625,164.2
2025-02-07T08:00+00:00,486.8675,11706.04125,6675.45375,150.35
2025-02-07T09:00+00:00,486.9375,11772.42875,6742.15375,127
2025-02-07T10:00+00:00,486.88,11598.5825,6769.7675,91.63
2025-02-07T11:00+00:00,486.7275,11567.02,6793.535,85.1
2025-02-07T12:00+00:00,486.57,11750.005,6813.0325,89.19
2025-02-07T13:00+00:00,486.505,11531.1,6800.8325,89.55
2025-02-07T14:00+00:00,486.5825,11445.05875,6727.40875,102.1
2025-02-07T15:00+00:00,486.465,11594.7975,6680.8675,126.99
2025-02-07T16:00+00:00,486.515,12445.5725,6647.6875,143
2025-02-07T17:00+00:00,486.565,12450.685,6635.925,149.36
2025-02-07T18:00+00:00,486.6975,11822.48125,6558.35875,134
2025-02-07T19:00+00:00,486.8925,10707.16375,6620.02375,113.82
2025-02-07T20:00+00:00,486.9875,9836.13875,6584.95625,95
2025-02-07T21:00+00:00,486.9925,9355.89,6540.4425,83
2025-02-07T22:00+00:00,486.9425,8577.0775,6457.0925,89.5
2025-02-07T23:00+00:00,487.0375,7472.1325,6375.9225,78.4
2025-02-08T00:00+00:00,486.75,6789.34125,6262.99125,72.5
2025-02-08T01:00+00:00,486.5925,6549.735,5982.1925,89.9
2025-02-08T02:00+00:00,486.5375,6805.35,5635.66,90
2025-02-08T03:00+00:00,486.515,7079.0025,5410.95,89.69
2025-02-08T04:00+00:00,486.5325,7936.35625,5027.50125,90.99
2025-02-08T05:00+00:00,486.55,8550.62375,4760.16875,90.82
2025-02-08T06:00+00:00,486.655,9421.0675,4520.465,96
2025-02-08T07:00+00:00,486.7875,10152.465,4004.045,123
2025-02-08T08:00+00:00,486.9325,10991.27,3585.37,133.35
2025-02-08T09:00+00:00,487.0925,11211.29875,3088.55125,125
2025-02-08T10:00+00:00,486.9725,11488.11125,2810.46375,111.7
2025-02-08T11:00+00:00,486.95,11823.4625,2349.145,120.32
2025-02-08T12:00+00:00,486.885,11794.3425,1889.285,149.9
2025-02-08T13:00+00:00,486.7625,11595.035,1674.7125,125
2025-02-08T14:00+00:00,486.6925,11623.07625,1479.90125,118
2025-02-08T15:00+00:00,486.665,13084.545,1027.85,141
2025-02-08T16:00+00:00,486.6025,14313.54875,905.70875,150.19
2025-02-08T17:00+00:00,486.5675,14859.94625,871.74375,160.49
2025-02-08T18:00+00:00,486.785,14547.83125,910.59625,165.36
2025-02-08T19:00+00:00,486.745,14248.6425,1066.7075,162
2025-02-08T20:00+00:00,486.8875,13915.345,909.675,149
2025-02-08T21:00+00:00,487.0275,13632.62625,1092.33875,147.38
2025-02-08T22:00+00:00,487.04,12931.99,988.18,142.3
2025-02-08T23:00+00:00,487.0925,10709.04125,830.60375,135
2025-02-09T00:00+00:00,486.875,9667.5325,627.3525,135.7
2025-02-09T01:00+00:00,486.7125,9069.57875,645.40125,134.3
2025-02-09T02:00+00:00,486.55,8277.06625,850.94875,119.3
