"The Day Ahead Auction prices for the following bidding zones is published without any change under the CC BY 4.0 (creativecommons.org/licenses/by/4.0) license with the source Bundesnetzagentur | SMARD.de: AT, BE, CH, CZ, DE-LU, DE-AT-LU, DK1, DK2, FR, HU, IT-NORTH, NL, NO2, PL, SE4, SI",,,,
Date (UTC),Nuclear,Non-Renewable,Renewable,Day Ahead Auction (NL)
,Power (MW),Power (MW),Power (MW),"Price (EUR/MWh, EUR/tCO2)"
2024-12-31T23:00+00:00,486.445,5403.75875,5975.33875,13.62
2025-01-01T00:00+00:00,486.735,5178.43,5548.0925,6.24
2025-01-01T01:00+00:00,486.8575,5295.63875,5861.06875,4.16
2025-01-01T02:00+00:00,486.975,5270.16375,5870.81375,3.28
2025-01-01T03:00+00:00,486.7625,5286.3525,5628.17,0.68
2025-01-01T04:00+00:00,486.6875,5167.6875,5210.095,0
2025-01-01T05:00+00:00,486.55,5193.25375,5329.95125,0.76
2025-01-01T06:00+00:00,486.3575,5051.81,5130.1775,0.79
2025-01-01T07:00+00:00,486.2475,4949.62,4976.9275,1.89
2025-01-01T08:00+00:00,486.2075,5103.47375,4633.95625,7.5
2025-01-01T09:00+00:00,486.245,5277.8875,4342.4725,27.32
2025-01-01T10:00+00:00,486.325,5380.86,3747.24,37.49
2025-01-01T11:00+00:00,486.6425,5792.14875,3695.29875,60.1
2025-01-01T12:00+00:00,486.78,5574.10875,4015.08875,63.32
2025-01-01T13:00+00:00,486.9675,5443.95375,4198.70625,47
2025-01-01T14:00+00:00,486.975,5791.77625,5081.82875,50.1
2025-01-01T15:00+00:00,486.95,5810.5925,5836.905,27.64
2025-01-01T16:00+00:00,486.915,6434.995,5827.47,79.97
2025-01-01T17:00+00:00,486.795,6865.76625,5599.46375,95
2025-01-01T18:00+00:00,486.625,6722.84375,5491.86125,95
2025-01-01T19:00+00:00,486.515,5862.7525,5821.4225,81.49
2025-01-01T20:00+00:00,486.595,5293.4475,5719.4975,68.96
2025-01-01T21:00+00:00,486.4325,5231.46625,5659.19375,46.37
2025-01-01T22:00+00:00,486.4875,5071.75,5463.9275,38
2025-01-01T23:00+00:00,486.6025,5492.2025,4425.145,101.94
2025-01-02T00:00+00:00,486.7375,5956.3025,3225.6875,146.95
2025-01-02T01:00+00:00,486.9625,5984.1425,2668.9625,148.44
2025-01-02T02:00+00:00,487.0575,5681.43125,2400.87625,138
2025-01-02T03:00+00:00,487.3,5903.63625,2225.57125,100.1
2025-01-02T04:00+00:00,486.9725,6451.27375,2218.35875,107.47
2025-01-02T05:00+00:00,486.7925,7878.6475,2045.91,154.68
2025-01-02T06:00+00:00,486.5225,9314.7575,1772.3025,174.7
2025-01-02T07:00+00:00,486.2975,9827.8975,1907.77,175.07
2025-01-02T08:00+00:00,486.245,11050.50375,1737.85125,165.37
2025-01-02T09:00+00:00,486.3625,12118.0825,1598.1725,136
2025-01-02T10:00+00:00,486.27,12624.175,2247.1425,111.93
2025-01-02T11:00+00:00,486.375,12901.38,2581.3225,101.52
2025-01-02T12:00+00:00,486.5075,12655.46,3373.6475,105.6
2025-01-02T13:00+00:00,486.7475,12564.40875,3776.16625,118.95
2025-01-02T14:00+00:00,486.945,11827.5575,3905.4075,130.11
2025-01-02T15:00+00:00,486.7075,11855.60375,4091.57625,138.81
2025-01-02T16:00+00:00,486.175,12429.75875,4160.92375,153
2025-01-02T17:00+00:00,486.295,12386.13,4658.5825,152.99
2025-01-02T18:00+00:00,486.25,11741.02,4574.495,128
2025-01-02T19:00+00:00,485.9225,11234.72375,4337.39125,129.17
2025-01-02T20:00+00:00,485.8,9918.73125,4492.33375,120
2025-01-02T21:00+00:00,485.81,9368.55125,4300.25625,119.9
