"The Day Ahead Auction prices for the following bidding zones is published without any change under the CC BY 4.0 (creativecommons.org/licenses/by/4.0) license with the source Bundesnetzagentur | SMARD.de: AT, BE, CH, CZ, DE-LU, DE-AT-LU, DK1, DK2, FR, HU, IT-NORTH, NL, NO2, PL, SE4, SI",,,,
Date (UTC),Nuclear,Non-Renewable,Renewable,Day Ahead Auction (NL)
,Power (MW),Power (MW),Power (MW),"Price (EUR/MWh, EUR/tCO2)"
2025-06-30T22:00+00:00,467.4675,9997.68,2830.05,111.28
2025-06-30T23:00+00:00,467.5,9292.66,3175.8475,95.39
2025-07-01T00:00+00:00,467.545,9223.52625,3124.84125,89.1
2025-07-01T01:00+00:00,467.63,9059.37,2989.4525,88.06
2025-07-01T02:00+00:00,467.69,8920.38875,2545.91375,90.01
2025-07-01T03:00+00:00,467.7975,8897.01125,1961.85125,96.62
2025-07-01T04:00+00:00,467.8325,9509.47125,1403.83375,114.97
2025-07-01T05:00+00:00,467.8425,10736.6175,1132.695,120.1
2025-07-01T06:00+00:00,467.87,12788.805,956.91,114.28
2025-07-01T07:00+00:00,467.7125,14466.28,782.7175,91.7
2025-07-01T08:00+00:00,467.5875,14421.93875,703.88375,90.11
2025-07-01T09:00+00:00,467.5225,14173.02625,737.60625,73.79
2025-07-01T10:00+00:00,466.7875,14883.77625,761.69375,40.3
2025-07-01T11:00+00:00,466.2425,14857.1875,777.4975,42.47
2025-07-01T12:00+00:00,465.74,14460.69375,794.05875,47.54
2025-07-01T13:00+00:00,465.7825,14116.2475,800.0475,78.15
2025-07-01T14:00+00:00,465.81,13343.19375,877.63375,90.8
2025-07-01T15:00+00:00,465.8425,13087.045,892.19,102.25
2025-07-01T16:00+00:00,465.9375,11818.3725,904.5275,152.44
2025-07-01T17:00+00:00,465.9525,10502.5675,1046.9225,320
2025-07-01T18:00+00:00,466.0675,9934.1,1376.7275,517.57
2025-07-01T19:00+00:00,465.9425,8685.85625,2037.97125,470.16
2025-07-01T20:00+00:00,465.895,8746.6025,2062.2525,278.18
2025-07-01T21:00+00:00,465.865,8590.5425,1476.32,161.35
2025-07-01T22:00+00:00,465.87,8176.20875,904.63125,119.29
2025-07-01T23:00+00:00,465.88,7533.29,685.8625,102.7
2025-07-02T00:00+00:00,465.5225,7411.42875,517.59125,92.54
2025-07-02T01:00+00:00,465.4075,7268.3125,602.2525,92.08
2025-07-02T02:00+00:00,465.465,7200.88625,730.02875,95.77
2025-07-02T03:00+00:00,465.49,7235.70625,816.10625,104.86
2025-07-02T04:00+00:00,465.57,8603.77125,629.69625,123.69
2025-07-02T05:00+00:00,465.5875,9518.0725,446.6125,112
2025-07-02T06:00+00:00,465.5325,10936.99875,491.34625,104.52
