"The Day Ahead Auction prices for the following bidding zones is published without any change under the CC BY 4.0 (creativecommons.org/licenses/by/4.0) license with the source Bundesnetzagentur | SMARD.de: AT, BE, CH, CZ, DE-LU, DE-AT-LU, DK1, DK2, FR, HU, IT-NORTH, NL, NO2, PL, SE4, SI",,,,
Date (UTC),Nuclear,Non-Renewable,Renewable,Day Ahead Auction (NL)
,Power (MW),Power (MW),Power (MW),"Price (EUR/MWh, EUR/tCO2)"
2025-05-31T22:00+00:00,477.135,6400.8125,1629.32,98.4
2025-05-31T23:00+00:00,477.16,4790.3775,2131.89,85.22
2025-06-01T00:00+00:00,477.21,3886.235,2461.7375,86.56
2025-06-01T01:00+00:00,477.37,3899.48375,2584.73625,80.6
2025-06-01T02:00+00:00,477.265,3721.39875,2529.44875,78.53
2025-06-01T03:00+00:00,477.3475,3297.19125,2522.58375,70.66
2025-06-01T04:00+00:00,477.3725,3446.76125,2353.73875,37.45
2025-06-01T05:00+00:00,477.3325,4438.3975,2373.9175,13
2025-06-01T06:00+00:00,477.3475,6102.1975,2201.685,2.4
2025-06-01T07:00+00:00,477.3225,7306.17125,1762.68625,-0.01
2025-06-01T08:00+00:00,477.285,8383.06625,1714.39625,-0.6
2025-06-01T09:00+00:00,477.2025,9320.67375,1554.34875,-2.11
2025-06-01T10:00+00:00,477.1825,10166.90375,1730.16625,-5.48
2025-06-01T11:00+00:00,477.3125,9959.70125,1919.25375,-12.93
2025-06-01T12:00+00:00,477.2025,9221.43625,2077.96125,-20.41
2025-06-01T13:00+00:00,476.6975,9107.205,2300.65,-15.61
2025-06-01T14:00+00:00,476.7475,9824.42,3174.1625,-6
2025-06-01T15:00+00:00,476.78,8933.46375,4093.72875,-0.91
2025-06-01T16:00+00:00,476.865,8386.21,4512.5225,17
2025-06-01T17:00+00:00,476.8675,6739.60125,4007.83375,71.81
2025-06-01T18:00+00:00,477.36,6151.4875,3909.05,89.66
2025-06-01T19:00+00:00,477.335,6107.115,3810.55,114.9
2025-06-01T20:00+00:00,477.4125,5908.30875,3994.93625,101.98
2025-06-01T21:00+00:00,477.225,5159.90875,4005.82625,83.54
2025-06-01T22:00+00:00,477.225,4612.35875,3917.07125,75.3
2025-06-01T23:00+00:00,477.2175,3810.79125,3782.96125,70
2025-06-02T00:00+00:00,477.2,3648.435,3379.785,71.65
2025-06-02T01:00+00:00,477.2,3894.6025,2694.2525,73.71
2025-06-02T02:00+00:00,477.275,3897.79875,2098.15125,76.6
2025-06-02T03:00+00:00,477.3025,4607.2325,1814.6975,82.57
2025-06-02T04:00+00:00,477.3725,6421.08125,1426.95375,105.1
2025-06-02T05:00+00:00,477.4625,7877.88,1279.2525,123.86
2025-06-02T06:00+00:00,477.2825,9333.00375,1267.96875,105.4
2025-06-02T07:00+00:00,477.2925,9977.335,1385.6625,82.56
2025-06-02T08:00+00:00,477.2675,11117.50375,1508.61875,54.19
2025-06-02T09:00+00:00,477.3575,11731.16,1539.3725,33.21
2025-06-02T10:00+00:00,477.3025,13326.9025,1612.645,20
2025-06-02T11:00+00:00,477.2675,13782.27875,1754.24625,12.78
2025-06-02T12:00+00:00,477.3275,14093.99375,1779.84375,11
2025-06-02T13:00+00:00,477.4,13805.06375,1578.48625,19.75
2025-06-02T14:00+00:00,477.4275,13232.3425,1373.9575,48.31
2025-06-02T15:00+00:00,477.7325,12832.4775,1200.655,71.98
2025-06-02T16:00+00:00,476.795,12655.82375,885.34375,86.78
2025-06-02T17:00+00:00,476.8025,11988.4175,574.025,109.66
2025-06-02T18:00+00:00,476.84,10958.38625,434.79875,189.36
2025-06-02T19:00+00:00,477.1375,10575.74875,412.00375,239.26
2025-06-02T20:00+00:00,477.055,10238.98125,492.62625,143.11
2025-06-02T21:00+00:00,477.0175,9534.26125,683.70875,106.36
2025-06-02T22:00+00:00,476.9775,8240.19,1077.8975,100.73
2025-06-02T23:00+00:00,476.9375,6774.14125,1545.64875,96
2025-06-03T00:00+00:00,477.0675,6369.02625,1971.36875,94.03
2025-06-03T01:00+00:00,476.925,6134.48625,2303.67375,85.44
2025-06-03T02:00+00:00,476.9225,6553.67625,2759.42625,81.58
2025-06-03T03:00+00:00,476.96,7038.5325,3151.045,91.83
2025-06-03T04:00+00:00,476.9925,8379.24125,3523.74375,112.33
2025-06-03T05:00+00:00,477.0225,9563.90375,3599.73875,101.21
2025-06-03T06:00+00:00,477.1925,10563.3725,3703.01,77.4
2025-06-03T07:00+00:00,477.25,11869.91625,3901.08375,32.2
2025-06-03T08:00+00:00,477.1825,12261.16,3598.195,0
2025-06-03T09:00+00:00,477.2675,12888.51125,3260.63625,-2
2025-06-03T10:00+00:00,477.1025,13347.2975,3058.0075,-2
2025-06-03T11:00+00:00,476.905,13030.0075,3040.0475,-3
2025-06-03T12:00+00:00,476.55,12362.14625,2668.88625,-10
2025-06-03T13:00+00:00,476.64,11603.47125,2953.43375,-5
2025-06-03T14:00+00:00,476.6275,10019.3975,3562.8675,-2
2025-06-03T15:00+00:00,476.6875,8435.57625,5023.41625,0.1
2025-06-03T16:00+00:00,476.78,7714.62375,5837.61375,69.9
2025-06-03T17:00+00:00,476.7925,8002.42375,5888.57375,94.91
2025-06-03T18:00+00:00,476.8025,7926.60875,5955.48875,123.79
2025-06-03T19:00+00:00,476.715,7452.4925,5877.0975,105.61
2025-06-03T20:00+00:00,476.565,7031.01,5698.195,103.98
2025-06-03T21:00+00:00,476.5575,5275.26625,5545.70625,93.37
2025-06-03T22:00+00:00,476.4725,3980.5725,5470.15,71.27
2025-06-03T23:00+00:00,476.5025,4003.95,4977.725,62.77
2025-06-04T00:00+00:00,476.4675,3613.78,4871.0775,60.93
2025-06-04T01:00+00:00,476.4325,3610.11375,4357.54875,61.32
2025-06-04T02:00+00:00,476.5975,3536.8475,3759.3175,64.11
2025-06-04T03:00+00:00,476.6325,4183.1525,3445.145,75.17
2025-06-04T04:00+00:00,476.53,5469.05875,2817.03625,108.32
2025-06-04T05:00+00:00,476.5225,6624.5775,2677.17,115.78
2025-06-04T06:00+00:00,476.5375,7756.90125,2428.69875,112.4
2025-06-04T07:00+00:00,476.6025,8830.32625,2213.00375,102.95
2025-06-04T08:00+00:00,476.6075,8376.71125,2496.18625,70.68
2025-06-04T09:00+00:00,476.625,8860.1025,2785.5475,45
2025-06-04T10:00+00:00,476.7075,10228.8975,3011.91,19.96
2025-06-04T11:00+00:00,476.595,10971.73875,3147.86125,9.69
2025-06-04T12:00+00:00,476.6975,11172.07375,3280.82375,16
2025-06-04T13:00+00:00,476.755,11431.15875,3756.80375,34.61
2025-06-04T14:00+00:00,476.83,10520.67,3958.73,46.91
2025-06-04T15:00+00:00,476.815,9704.36875,4068.80625,73.1
2025-06-04T16:00+00:00,476.845,9638.75625,4025.84625,95
2025-06-04T17:00+00:00,476.6575,9501.25625,3909.27375,108
2025-06-04T18:00+00:00,476.0025,9058.015,3806.205,137.57
2025-06-04T19:00+00:00,476.0475,8393.14625,3657.92375,136
2025-06-04T20:00+00:00,476.495,8282.10125,3699.27875,117.89
2025-06-04T21:00+00:00,477.09,6596.2975,3778.09,100.52
2025-06-04T22:00+00:00,476.9175,4432.9225,4135.41,95.82
2025-06-04T23:00+00:00,476.9025,3839.35625,4541.27375,85.97
2025-06-05T00:00+00:00,476.8675,3896.215,4725.295,80.48
2025-06-05T01:00+00:00,476.8475,4173.7575,4489.6075,79.79
2025-06-05T02:00+00:00,476.82,3985.1575,4522.73,80.57
2025-06-05T03:00+00:00,476.8075,4198.23375,4692.80375,81
2025-06-05T04:00+00:00,476.845,5662.44,4522.215,113.78
2025-06-05T05:00+00:00,476.8125,7018.83,4327.09,116.85
2025-06-05T06:00+00:00,476.8475,8319.14625,4275.86875,112.78
2025-06-05T07:00+00:00,477.0225,8696.97625,3817.44125,92.2
2025-06-05T08:00+00:00,476.91,8714.5975,4217.365,65.01
2025-06-05T09:00+00:00,476.875,8493.475,4310.585,45.03
2025-06-05T10:00+00:00,476.8975,7818.11125,4683.92125,21.15
2025-06-05T11:00+00:00,476.8125,7585.54125,4831.26625,11.03
2025-06-05T12:00+00:00,476.8225,8644.45,4224.6925,7.6
2025-06-05T13:00+00:00,476.75,9961.86,4063.57,19.87
2025-06-05T14:00+00:00,476.4425,10102.76125,3668.71625,57.5
2025-06-05T15:00+00:00,476.145,9152.45625,3505.17375,72.98
2025-06-05T16:00+00:00,476.4125,8868.42125,3540.41375,94.44
2025-06-05T17:00+00:00,476.615,9383.50625,3357.85125,107.13
2025-06-05T18:00+00:00,476.9325,9377.225,3767.795,126.2
2025-06-05T19:00+00:00,476.95,9549.9475,4158.4425,120.37
2025-06-05T20:00+00:00,476.995,8205.6925,4975.4175,103.39
2025-06-05T21:00+00:00,477.0125,6039.06375,4785.56875,81.9
2025-06-05T22:00+00:00,477.0025,5648.01375,4596.05375,70.21
2025-06-05T23:00+00:00,476.9925,4588.80625,4986.95625,58.35
2025-06-06T00:00+00:00,476.9525,4074.6425,5317.99,59.9
2025-06-06T01:00+00:00,477.07,3965.89375,5508.28875,55.27
2025-06-06T02:00+00:00,476.9175,4086.645,5624.81,48.14
2025-06-06T03:00+00:00,476.8975,4245.2025,5780.92,54.48
2025-06-06T04:00+00:00,476.8025,4804.98875,5776.27375,64.19
2025-06-06T05:00+00:00,476.635,6360.63875,5752.47625,68.97
2025-06-06T06:00+00:00,476.62,7629.6725,5421.9075,56.56
2025-06-06T07:00+00:00,476.64,9372.37875,4820.04875,4.07
2025-06-06T08:00+00:00,476.95,10462.40625,4169.26375,-0.01
2025-06-06T09:00+00:00,476.9425,11515.87375,3608.28875,-0.2
2025-06-06T10:00+00:00,477.11,11978.3575,3478.4075,-2
2025-06-06T11:00+00:00,476.9425,11389.77375,3333.75125,-3.94
2025-06-06T12:00+00:00,476.89,11141.66,3126.8725,-4.2
2025-06-06T13:00+00:00,476.845,10057.51,3545.7825,-3.69
2025-06-06T14:00+00:00,476.135,8775.83125,4859.78625,-0.03
2025-06-06T15:00+00:00,475.9325,7973.34125,5711.32375,1
2025-06-06T16:00+00:00,475.97,8001.905,5278.3125,46.29
2025-06-06T17:00+00:00,476.2175,7726.57625,4156.32125,82.76
2025-06-06T18:00+00:00,476.94,7755.65625,2735.37625,111.05
2025-06-06T19:00+00:00,477.16,7415.9075,2483.345,129.29
2025-06-06T20:00+00:00,477.0575,7084.5175,2583.745,127.72
2025-06-06T21:00+00:00,477.105,6504.89125,2646.29375,103.41
2025-06-06T22:00+00:00,477.1125,5535.95125,2962.92625,100.46
2025-06-06T23:00+00:00,477.1075,4998.65375,3058.67875,94.6
2025-06-07T00:00+00:00,477.065,5256.635,2487.355,87.66
2025-06-07T01:00+00:00,477.0375,5341.84625,2557.52625,94
2025-06-07T02:00+00:00,477.005,5188.8175,2538.5725,94.75
2025-06-07T03:00+00:00,476.945,5007.32625,2645.53375,94.49
2025-06-07T04:00+00:00,477.0625,5375.48875,1814.36625,95
2025-06-07T05:00+00:00,476.96,6468.59,1473.5725,98.69
2025-06-07T06:00+00:00,476.97,6602.50625,1587.08625,90.41
2025-06-07T07:00+00:00,476.9,7561.28875,1601.85875,75.25
2025-06-07T08:00+00:00,476.77,7596.08375,1790.50125,34.05
2025-06-07T09:00+00:00,476.8525,7999.14125,1888.09875,9.44
2025-06-07T10:00+00:00,476.9,8914.14375,2234.93625,1.19
2025-06-07T11:00+00:00,476.8625,9233.50125,2896.39625,-0.01
2025-06-07T12:00+00:00,476.8175,9797.3575,3125.0525,-0.02
2025-06-07T13:00+00:00,476.9125,9954.98875,3894.80875,-0.02
2025-06-07T14:00+00:00,476.72,9845.01625,3258.25625,-0.61
2025-06-07T15:00+00:00,476.6925,8989.8225,4254.855,23.24
2025-06-07T16:00+00:00,476.195,7989.46875,4070.44875,65.04
2025-06-07T17:00+00:00,476.2075,7773.48875,3760.72125,82
2025-06-07T18:00+00:00,476.21,7156.15875,3073.75375,126.53
2025-06-07T19:00+00:00,476.22,6929.2975,2553.31,128
2025-06-07T20:00+00:00,476.745,6720.48125,2254.77875,111.56
2025-06-07T21:00+00:00,476.815,5221.8425,2124.625,82
2025-06-07T22:00+00:00,477.075,4127.9075,1577.175,95.02
2025-06-07T23:00+00:00,476.9475,3221.515,2035.3225,81.82
2025-06-08T00:00+00:00,477.1325,3260.86625,3082.86875,73.87
2025-06-08T01:00+00:00,477.0675,3213.5675,3627.3625,63.39
2025-06-08T02:00+00:00,477.0075,3578.625,4023.8275,57.17
2025-06-08T03:00+00:00,476.9775,3466.6925,3589.5375,47.32
2025-06-08T04:00+00:00,476.9425,3644.16375,3352.14125,33.07
2025-06-08T05:00+00:00,476.935,4806.5725,3095.2075,3.09
2025-06-08T06:00+00:00,477.125,5894.99375,3388.26125,0
2025-06-08T07:00+00:00,477.4775,7075.39625,3474.86625,-0.5
2025-06-08T08:00+00:00,477.6275,8361.485,3219.1825,-2
2025-06-08T09:00+00:00,477.355,8937.665,3079.01,-8.1
2025-06-08T10:00+00:00,477.1125,9326.44875,2472.92125,-19.85
2025-06-08T11:00+00:00,477.035,9910.36375,2492.32125,-39.92
2025-06-08T12:00+00:00,476.8475,10082.36,2328.805,-52.83
2025-06-08T13:00+00:00,476.815,9527.7525,2505.14,-52.99
2025-06-08T14:00+00:00,476.7675,8898.16875,2807.12125,-35.97
2025-06-08T15:00+00:00,476.91,8311.67,2870.7975,-14.06
2025-06-08T16:00+00:00,476.03,8271.24125,4146.48375,0.01
2025-06-08T17:00+00:00,476.12,6229.33375,3421.35625,39.99
2025-06-08T18:00+00:00,476.635,5152.87875,3130.87125,82.7
2025-06-08T19:00+00:00,476.9375,4666.35625,2713.05125,94.68
2025-06-08T20:00+00:00,476.96,4842.6475,2690.7925,130.13
2025-06-08T21:00+00:00,477.02,4382.30375,3161.63875,113.4
2025-06-08T22:00+00:00,477.085,4155.3675,2789.8675,110.91
2025-06-08T23:00+00:00,477.0975,4290.19,2406.8975,86
2025-06-09T00:00+00:00,477.1325,3698.045,2282.2275,65
2025-06-09T01:00+00:00,477.1025,3413.72125,2151.59875,60.9
2025-06-09T02:00+00:00,477.21,3251.625,2122.67,69.9
2025-06-09T03:00+00:00,477.02,3285.475,1835.26,70
2025-06-09T04:00+00:00,476.9625,3705.725,1326.74,59.82
2025-06-09T05:00+00:00,476.93,5082.76375,1131.55625,54.78
2025-06-09T06:00+00:00,476.9175,6852.38,1175.61,5.13
2025-06-09T07:00+00:00,476.9425,8926.9875,1283.825,0
2025-06-09T08:00+00:00,476.9575,10159.5675,1082.0675,-0.97
2025-06-09T09:00+00:00,476.985,10556.14625,1075.78375,-3.4
2025-06-09T10:00+00:00,477.0825,11005.0675,1210.84,-9.03
2025-06-09T11:00+00:00,477.24,11017.2725,1493.7025,-18.45
2025-06-09T12:00+00:00,477.1125,10274.3075,1320.7075,-15.66
2025-06-09T13:00+00:00,477.0825,10172.0075,1251.38,-4.16
2025-06-09T14:00+00:00,476.8825,10196.9275,1711.9125,-0.85
2025-06-09T15:00+00:00,476.8275,9441.91,2244.5,2.16
2025-06-09T16:00+00:00,476.9475,8508.65625,2517.57875,65.85
2025-06-09T17:00+00:00,476.805,8352.43,2338.1475,111.28
2025-06-09T18:00+00:00,476.8625,8261.165,2357.8425,134.27
2025-06-09T19:00+00:00,476.88,7779.8425,2562.0925,146.69
2025-06-09T20:00+00:00,477.0825,7809.51625,2940.53375,130
2025-06-09T21:00+00:00,476.9575,6781.9525,3516.64,96.12
2025-06-09T22:00+00:00,477.0025,5199.81625,4018.67125,82.96
2025-06-09T23:00+00:00,477.0575,4151.93625,4434.14125,74.7
2025-06-10T00:00+00:00,477.07,3686.25875,5071.47875,67.8
2025-06-10T01:00+00:00,477.085,3482.91125,5327.25625,57.71
2025-06-10T02:00+00:00,477.065,3540.76125,5571.71375,51.92
2025-06-10T03:00+00:00,477.015,3965.62875,5849.13625,56.04
2025-06-10T04:00+00:00,476.9725,4630.99875,5949.02625,67.71
2025-06-10T05:00+00:00,477.005,5661.41625,6084.71375,80.22
2025-06-10T06:00+00:00,476.7825,6671.8025,6304.3025,80
2025-06-10T07:00+00:00,479.9975,6977.20625,6340.39875,65.09
2025-06-10T08:00+00:00,478.575,6965.50375,6236.38125,21.25
2025-06-10T09:00+00:00,476.635,6965.79,6112.075,13.8
2025-06-10T10:00+00:00,476.7425,7086.1275,6011.045,0.1
2025-06-10T11:00+00:00,476.775,7859.1175,6364.9475,5.05
