"The Day Ahead Auction prices for the following bidding zones is published without any change under the CC BY 4.0 (creativecommons.org/licenses/by/4.0) license with the source Bundesnetzagentur | SMARD.de: AT, BE, CH, CZ, DE-LU, DE-AT-LU, DK1, DK2, FR, HU, IT-NORTH, NL, NO2, PL, SE4, SI",,,,
Date (UTC),Nuclear,Non-Renewable,Renewable,Day Ahead Auction (NL)
,Power (MW),Power (MW),Power (MW),"Price (EUR/MWh, EUR/tCO2)"
2025-02-28T23:00+00:00,486.5075,13636.6475,918.7275,126.47
2025-03-01T00:00+00:00,486.655,13049.00125,823.57875,119.47
2025-03-01T01:00+00:00,486.9375,12957.485,774.365,116.61
2025-03-01T02:00+00:00,486.935,12766.89875,749.92125,109.9
2025-03-01T03:00+00:00,486.89,12898.86375,662.14875,108.05
2025-03-01T04:00+00:00,486.7875,12837.73375,616.96875,111.88
2025-03-01T05:00+00:00,486.58,12773.53625,596.15875,117.1
2025-03-01T06:00+00:00,486.35,13153.49625,571.33875,133.82
2025-03-01T07:00+00:00,486.305,13636.6125,613.97,136.25
2025-03-01T08:00+00:00,486.1675,14396.86875,646.20125,133.48
2025-03-01T09:00+00:00,486.645,14732.49,687.3425,119.44
2025-03-01T10:00+00:00,486.765,14109.52625,641.81875,106.43
2025-03-01T11:00+00:00,486.9925,14178.64375,606.68625,98.63
2025-03-01T12:00+00:00,487.1725,13860.07125,636.39875,91.41
2025-03-01T13:00+00:00,487.53,13579.3575,663.465,89.1
2025-03-01T14:00+00:00,487.625,13214.53375,629.53125,96.4
2025-03-01T15:00+00:00,487.575,13228.29875,531.21125,113.54
2025-03-01T16:00+00:00,487.58,13470.1325,532.79,134.81
2025-03-01T17:00+00:00,487.33,13766.53625,559.99125,152
2025-03-01T18:00+00:00,486.6525,13767.5075,521.7575,146.76
2025-03-01T19:00+00:00,485.9175,13258.34375,556.93875,133.41
2025-03-01T20:00+00:00,485.78,12929.1825,689.74,125.43
2025-03-01T21:00+00:00,486.545,12442.45125,548.71375,122.03
2025-03-01T22:00+00:00,486.8875,10120.72875,487.86125,119.92
2025-03-01T23:00+00:00,486.95,8753.47875,428.14375,123.97
2025-03-02T00:00+00:00,487.085,8398.25,390.9175,107.72
2025-03-02T01:00+00:00,487.4375,7541.855,376.4775,99.41
2025-03-02T02:00+00:00,487.4825,7718.91375,355.38625,93.19
2025-03-02T03:00+00:00,486.9825,7684.24,363.455,94.49
2025-03-02T04:00+00:00,486.8825,7546.28625,415.75875,94.3
2025-03-02T05:00+00:00,486.7275,7728.03,496.335,96.43
2025-03-02T06:00+00:00,486.5,8141.75,536.0175,103
2025-03-02T07:00+00:00,486.24,8407.35125,643.37875,103.23
2025-03-02T08:00+00:00,486.0225,8451.21625,675.99625,89
2025-03-02T09:00+00:00,485.9525,9817.51875,763.88875,68.3
2025-03-02T10:00+00:00,486.1125,11216.35125,883.12125,49
2025-03-02T11:00+00:00,486.0975,13024.25375,882.81625,27.5
2025-03-02T12:00+00:00,486.285,12690.73375,879.28875,-3
2025-03-02T13:00+00:00,486.5875,11652.43625,779.28125,-3.86
2025-03-02T14:00+00:00,486.9,10368.76,645.74,50.7
2025-03-02T15:00+00:00,486.885,8621.4475,569.77,79.9
2025-03-02T16:00+00:00,486.835,9729.265,549.115,122.02
2025-03-02T17:00+00:00,486.7175,10588.20625,555.45625,141.05
2025-03-02T18:00+00:00,486.49,10609.78125,592.28625,146.38
2025-03-02T19:00+00:00,486.4825,10782.2325,623.89,133.35
2025-03-02T20:00+00:00,486.27,10775.9875,641.4125,120.44
2025-03-02T21:00+00:00,486.1875,10647.55625,670.66875,120.86
2025-03-02T22:00+00:00,486.2425,9927.24875,721.91625,112.83
2025-03-02T23:00+00:00,486.3425,9348.2375,764.845,108.28
2025-03-03T00:00+00:00,486.435,9282.08875,782.44375,103.85
2025-03-03T01:00+00:00,487.055,8921.8375,803.225,102.93
2025-03-03T02:00+00:00,487.3475,8900.7075,818.0425,99.8
2025-03-03T03:00+00:00,487.4175,9123.12875,862.21375,103.47
