"The Day Ahead Auction prices for the following bidding zones is published without any change under the CC BY 4.0 (creativecommons.org/licenses/by/4.0) license with the source Bundesnetzagentur | SMARD.de: AT, BE, CH, CZ, DE-LU, DE-AT-LU, DK1, DK2, FR, HU, IT-NORTH, NL, NO2, PL, SE4, SI",,,,
Date (UTC),Nuclear,Non-Renewable,Renewable,Day Ahead Auction (NL)
,Power (MW),Power (MW),Power (MW),"Price (EUR/MWh, EUR/tCO2)"
2024-10-31T23:00+00:00,480.2825,7709.35625,2071.08875,127
2024-11-01T00:00+00:00,480.3725,7424.15,2165.4425,116
2024-11-01T01:00+00:00,480.5675,7196.2775,2235.355,99.93
2024-11-01T02:00+00:00,480.405,7038.7475,2373.7825,87.53
2024-11-01T03:00+00:00,480.4,6772.455,2473.39,75.94
2024-11-01T04:00+00:00,480.36,6753.35625,2573.92875,82.03
2024-11-01T05:00+00:00,480.2725,7381.325,2795.005,89.4
2024-11-01T06:00+00:00,479.8825,8451.755,2805.0125,103
2024-11-01T07:00+00:00,479.6875,8863.9475,2725.935,109.1
2024-11-01T08:00+00:00,479.7175,9559.8475,2770.0125,115
2024-11-01T09:00+00:00,479.7725,9753.24,2729.6725,104
2024-11-01T10:00+00:00,479.9575,10116.2725,2775.015,100
2024-11-01T11:00+00:00,479.91,10261.45875,2643.18875,91
2024-11-01T12:00+00:00,479.9675,10295.04,2745.5925,100
2024-11-01T13:00+00:00,479.9625,10633.04125,2347.54875,110
2024-11-01T14:00+00:00,479.9825,10863.82375,1853.92625,119.18
2024-11-01T15:00+00:00,479.995,10826.92875,1506.58875,128.75
2024-11-01T16:00+00:00,479.865,11214.88,1128.02,131.4
2024-11-01T17:00+00:00,479.8225,11206.73,836.9575,135.49
2024-11-01T18:00+00:00,479.9475,10383.64125,776.23375,118.9
2024-11-01T19:00+00:00,480.3825,10268.015,699.78,113.68
2024-11-01T20:00+00:00,480.285,9498.29875,813.29375,105
2024-11-01T21:00+00:00,480.335,8900.23875,765.07875,102.41
2024-11-01T22:00+00:00,480.36,8249.0625,882.9025,109.9
2024-11-01T23:00+00:00,480.39,7449.09,998.14,95.85
2024-11-02T00:00+00:00,480.4725,7008.43375,1231.74625,91.36
2024-11-02T01:00+00:00,480.4875,6650.045,1423.645,88.77
2024-11-02T02:00+00:00,480.4775,6543.01625,1799.26375,86
2024-11-02T03:00+00:00,480.45,6863.83125,1713.23375,86.85
2024-11-02T04:00+00:00,480.54,6947.28,1547.035,90.76
2024-11-02T05:00+00:00,480.33,7384.4875,1456.5925,96.5
2024-11-02T06:00+00:00,480.27,7208.27625,1472.59875,100.11
2024-11-02T07:00+00:00,480.2375,7517.9875,1709.38,101.16
2024-11-02T08:00+00:00,480.22,8525.9775,1554.1275,108.2
2024-11-02T09:00+00:00,480.2575,9591.165,1280.46,90.78
2024-11-02T10:00+00:00,480.3225,10209.24625,1086.92125,90.74
2024-11-02T11:00+00:00,480.3575,11172.34875,819.15125,87.01
2024-11-02T12:00+00:00,480.4325,10558.325,725.81,88.97
2024-11-02T13:00+00:00,480.7875,10827.5225,678.37,100.97
2024-11-02T14:00+00:00,480.9475,11518.62375,656.76125,116.88
2024-11-02T15:00+00:00,480.9425,11378.80375,599.40125,131.2
2024-11-02T16:00+00:00,480.84,12103.75375,703.85875,153.18
2024-11-02T17:00+00:00,480.7675,11881.265,858.6475,144.32
2024-11-02T18:00+00:00,480.72,11573.4725,1037.0625,132.79
2024-11-02T19:00+00:00,480.6825,11410.1525,1109.5425,119.58
2024-11-02T20:00+00:00,480.6825,11532.06625,1027.80125,110.97
2024-11-02T21:00+00:00,480.4625,10899.78,832.1225,106.28
2024-11-02T22:00+00:00,480.4075,9305.54125,798.63125,100.61
2024-11-02T23:00+00:00,480.3225,6852.6125,845.875,101.19
2024-11-03T00:00+00:00,480.3925,6086.955,816.86,96.29
2024-11-03T01:00+00:00,480.45,5778.29875,670.73375,88.58
2024-11-03T02:00+00:00,480.46,5577.48625,506.75875,85.08
2024-11-03T03:00+00:00,480.415,5582.735,433.3,86
2024-11-03T04:00+00:00,480.375,5672.5775,445.2625,86.91
2024-11-03T05:00+00:00,480.2875,5586.33,451.485,94.9
2024-11-03T06:00+00:00,480.2625,5697.4825,392.1525,96.86
2024-11-03T07:00+00:00,480.38,5922.68,417.1475,87.25
2024-11-03T08:00+00:00,480.255,7027.26875,531.21125,93.02
2024-11-03T09:00+00:00,480.2725,8271.2975,571.325,68.43
2024-11-03T10:00+00:00,480.3225,9284.56,531.44,59.29
2024-11-03T11:00+00:00,480.3725,9533.13,451.0575,52.63
2024-11-03T12:00+00:00,480.4275,8971.72625,461.34875,58.54
2024-11-03T13:00+00:00,480.5025,8102.16,438.165,80.92
2024-11-03T14:00+00:00,480.5025,8712.595,347.94,93.52
2024-11-03T15:00+00:00,480.505,10529.015,337.325,111
2024-11-03T16:00+00:00,480.4175,12306.495,390.045,124.28
2024-11-03T17:00+00:00,480.48,12372.8825,415.2575,125.15
2024-11-03T18:00+00:00,480.3,12210.28625,544.48375,119.9
2024-11-03T19:00+00:00,480.2625,11943.79125,707.36375,110.84
2024-11-03T20:00+00:00,480.29,11656.61875,741.43875,102.13
2024-11-03T21:00+00:00,480.2825,10864.41,742.61,100.68
2024-11-03T22:00+00:00,480.315,10010.64625,804.69625,94.71
2024-11-03T23:00+00:00,480.425,9168.83,789.835,92.04
2024-11-04T00:00+00:00,481.38,9023.95375,823.24125,89.96
2024-11-04T01:00+00:00,481.415,8792.1975,705.965,90.07
2024-11-04T02:00+00:00,481.585,8705.14875,694.95375,89.18
2024-11-04T03:00+00:00,481.4275,9170.205,666.4075,90.19
2024-11-04T04:00+00:00,481.4,10564.44875,851.64375,97.48
2024-11-04T05:00+00:00,481.3575,13139.29,1146.115,122.24
2024-11-04T06:00+00:00,481.2325,14059.755,1335.5225,140
2024-11-04T07:00+00:00,481.17,14535.50625,1498.76125,137.13
2024-11-04T08:00+00:00,480.72,15982.1775,1373.5025,120.13
2024-11-04T09:00+00:00,480.1175,17280.01875,1201.16625,99.56
2024-11-04T10:00+00:00,479.815,17587.33125,1100.77625,84.2
2024-11-04T11:00+00:00,480.735,17502.3325,891.4475,83.1
2024-11-04T12:00+00:00,480.81,17582.14625,883.41375,84.2
2024-11-04T13:00+00:00,480.91,17126.69,986.89,94.92
2024-11-04T14:00+00:00,480.965,15840.445,1107.9025,125.63
2024-11-04T15:00+00:00,481.0125,15072.015,1316.17,174
2024-11-04T16:00+00:00,481.44,15715.3075,1637.385,269.76
2024-11-04T17:00+00:00,481.3325,15761.3675,1747.43,231.51
2024-11-04T18:00+00:00,481.28,16132.655,2004.54,161.23
2024-11-04T19:00+00:00,481.2675,15830.59,1983.8425,123
2024-11-04T20:00+00:00,481.405,15486.47875,1991.27375,110.1
2024-11-04T21:00+00:00,480.7975,14279.69625,1818.31375,105
2024-11-04T22:00+00:00,480.795,13406.74375,1618.38125,92.72
2024-11-04T23:00+00:00,480.81,11664.5525,1571.845,83.63
2024-11-05T00:00+00:00,480.815,11633.71375,1509.62375,94
2024-11-05T01:00+00:00,480.8875,11662.04125,1343.01375,90.68
2024-11-05T02:00+00:00,480.955,11637.70125,1058.68625,91.3
2024-11-05T03:00+00:00,480.9275,11790.63125,885.08375,94
2024-11-05T04:00+00:00,480.89,12589.435,849.845,96.09
2024-11-05T05:00+00:00,480.9725,13839.78125,914.13125,106
2024-11-05T06:00+00:00,480.705,14539.43625,897.86875,135.99
2024-11-05T07:00+00:00,480.9075,15180.91375,748.47125,136.21
2024-11-05T08:00+00:00,484.6625,16368.34625,684.51375,118.23
2024-11-05T09:00+00:00,481.4025,17835.15625,563.93875,105.87
2024-11-05T10:00+00:00,480.71,18554.2125,483.8325,95.28
2024-11-05T11:00+00:00,480.7,18938.235,420.9575,94.92
2024-11-05T12:00+00:00,480.755,18509.84875,398.51125,99.25
2024-11-05T13:00+00:00,480.8125,17254.855,345.8575,107.98
2024-11-05T14:00+00:00,481.025,15802.74125,251.39625,149.86
2024-11-05T15:00+00:00,480.925,15236.4975,221.045,303.24
2024-11-05T16:00+00:00,480.8825,15754.46,220.505,472.99
2024-11-05T17:00+00:00,480.845,15795.46875,220.57125,431.02
2024-11-05T18:00+00:00,480.8075,15520.8025,205.6925,320.33
2024-11-05T19:00+00:00,480.74,15259.07625,192.73125,169.7
2024-11-05T20:00+00:00,480.7175,15082.81875,194.25375,129.9
2024-11-05T21:00+00:00,480.745,14470.15125,191.83375,117.77
2024-11-05T22:00+00:00,480.735,14121.71875,188.89375,110.03
2024-11-05T23:00+00:00,480.8925,13143.22875,186.30875,100.5
2024-11-06T00:00+00:00,480.7775,13016.515,180.1525,99.05
2024-11-06T01:00+00:00,480.815,12894.23625,175.34625,95.4
2024-11-06T02:00+00:00,480.9025,12926.83875,181.83625,95.83
2024-11-06T03:00+00:00,480.83,12750.11875,208.89125,98.83
2024-11-06T04:00+00:00,480.7525,12907.40625,234.27375,92.91
2024-11-06T05:00+00:00,480.715,13678.27125,235.93125,121
2024-11-06T06:00+00:00,480.605,14531.8375,248.075,215.78
2024-11-06T07:00+00:00,480.585,14538.77125,223.22375,194
