"The Day Ahead Auction prices for the following bidding zones is published without any change under the CC BY 4.0 (creativecommons.org/licenses/by/4.0) license with the source Bundesnetzagentur | SMARD.de: AT, BE, CH, CZ, DE-LU, DE-AT-LU, DK1, DK2, FR, HU, IT-NORTH, NL, NO2, PL, SE4, SI",,,,
Date (UTC),Nuclear,Non-Renewable,Renewable,Day Ahead Auction (NL)
,Power (MW),Power (MW),Power (MW),"Price (EUR/MWh, EUR/tCO2)"
2024-09-30T22:00+00:00,477.0225,4220.775,5722.7275,3.21
2024-09-30T23:00+00:00,477.0675,4089.12,5668.9675,0.07
2024-10-01T00:00+00:00,477.01,3805.88875,5558.27875,0.05
2024-10-01T01:00+00:00,476.9775,3713.055,5439.5625,0.02
2024-10-01T02:00+00:00,477.0775,3875.755,5205.8625,0.09
2024-10-01T03:00+00:00,477.31,4288.00875,4885.13875,5.9
2024-10-01T04:00+00:00,477.23,5543.70125,5125.75875,62.8
2024-10-01T05:00+00:00,477.075,6773.1725,5173.5875,104.42
2024-10-01T06:00+00:00,477.09,6773.105,5090.775,114.92
2024-10-01T07:00+00:00,477.1325,7018.795,4851.5625,100.32
2024-10-01T08:00+00:00,477.16,6662.765,4986.83,76.41
2024-10-01T09:00+00:00,477.2075,6715.565,5004.0975,68.69
2024-10-01T10:00+00:00,477.3725,6648.875,5094.515,58.8
2024-10-01T11:00+00:00,477.3025,7106.0875,5206.8375,55.6
2024-10-01T12:00+00:00,477.335,7220.34875,5140.65125,56.45
2024-10-01T13:00+00:00,477.375,7312.44125,4976.82125,61.63
2024-10-01T14:00+00:00,477.34,7952.4775,4797.385,93.33
2024-10-01T15:00+00:00,477.3725,9317.79125,4195.47375,105.42
2024-10-01T16:00+00:00,477.4625,10193.83625,3380.58125,130.6
2024-10-01T17:00+00:00,478.1925,10797.13375,2410.66375,139.25
2024-10-01T18:00+00:00,478.1425,10856.45375,1534.75875,119.37
2024-10-01T19:00+00:00,478.27,10204.87875,1260.73875,92.57
2024-10-01T20:00+00:00,478.0225,9483.37875,926.34875,91.45
2024-10-01T21:00+00:00,477.925,8811.355,752.06,76.24
2024-10-01T22:00+00:00,478.0125,6117.96125,722.21875,85.38
2024-10-01T23:00+00:00,478.1075,4924.81875,879.31625,88
2024-10-02T00:00+00:00,478.155,4891.75875,973.39125,85.6
2024-10-02T01:00+00:00,478.15,4936.44875,1068.98875,81
2024-10-02T02:00+00:00,478.0825,4864,1434.695,78.38
2024-10-02T03:00+00:00,478.2725,5643.985,1943.785,80.8
2024-10-02T04:00+00:00,478.6025,8385.32,2222.405,97.65
2024-10-02T05:00+00:00,478.215,10061.51125,2718.99125,119.9
2024-10-02T06:00+00:00,478.08,10702.90125,3134.55875,133.72
2024-10-02T07:00+00:00,477.8925,10745.505,3221.295,116.23
2024-10-02T08:00+00:00,477.6175,11048.79,3337.9775,97
2024-10-02T09:00+00:00,477.6325,10182.7275,4056.4325,95.4
2024-10-02T10:00+00:00,477.695,10051.67,3850.16,88
2024-10-02T11:00+00:00,477.73,10550.50625,3559.30375,80.57
2024-10-02T12:00+00:00,477.8175,9826.115,3563.87,79
2024-10-02T13:00+00:00,477.8675,9569.69,4097.0675,81.43
2024-10-02T14:00+00:00,478.0025,9330.75875,4382.71375,81.58
2024-10-02T15:00+00:00,477.7825,10788.2675,4214.095,99.09
2024-10-02T16:00+00:00,477.76,11288.775,4446.945,117.01
2024-10-02T17:00+00:00,477.67,11281.83125,4355.29875,130.07
2024-10-02T18:00+00:00,477.6225,10973.7575,4592.575,114.37
2024-10-02T19:00+00:00,477.6075,9621.6,4920.345,96.41
2024-10-02T20:00+00:00,477.645,8235.24625,5041.91875,93.42
2024-10-02T21:00+00:00,477.81,6331.16,4836.5975,85
2024-10-02T22:00+00:00,477.9175,4662.91875,4321.84125,66
2024-10-02T23:00+00:00,478.14,4090.0125,3720.385,63.8
2024-10-03T00:00+00:00,478.075,3844.75375,3529.16375,79.9
2024-10-03T01:00+00:00,478.13,4220.4625,3194.135,80
2024-10-03T02:00+00:00,478.04,4472.02625,3005.39875,80.1
2024-10-03T03:00+00:00,478.03,5091.9275,2723.07,86
2024-10-03T04:00+00:00,477.95,6372.5525,2359.275,88.67
2024-10-03T05:00+00:00,477.74,7356.62375,2078.98625,125.9
2024-10-03T06:00+00:00,477.56,8357.6225,1871.9525,143.48
2024-10-03T07:00+00:00,477.57,9645.24875,1914.08625,107.68
2024-10-03T08:00+00:00,477.4975,9872.175,2120.5025,70.1
2024-10-03T09:00+00:00,477.71,11240.46625,2212.49875,62.22
2024-10-03T10:00+00:00,477.71,12171.30875,2762.56625,47.01
2024-10-03T11:00+00:00,477.8375,12174.15,2518.1075,34.99
2024-10-03T12:00+00:00,478.3325,11634.79125,1894.80125,38.34
2024-10-03T13:00+00:00,478.385,10240.87625,1991.64875,47.13
2024-10-03T14:00+00:00,478.145,9589.74125,2427.67125,70.27
2024-10-03T15:00+00:00,478.32,9145.78875,2430.76625,99.9
2024-10-03T16:00+00:00,478.2975,9619.01625,2362.63125,121.46
2024-10-03T17:00+00:00,395.6075,9512.91375,2468.76125,140
2024-10-03T18:00+00:00,154.2025,9324.26875,2519.37375,123.6
2024-10-03T19:00+00:00,153.42,9213.67625,2617.59375,101
2024-10-03T20:00+00:00,153.4775,7647.45375,2385.42125,97.62
2024-10-03T21:00+00:00,153.405,6194.71375,2083.78125,90
2024-10-03T22:00+00:00,193.11,5282.16875,1554.67375,75.1
2024-10-03T23:00+00:00,369.48,4659.4575,1146.2225,72.52
2024-10-04T00:00+00:00,469.47,4344.87375,743.61625,76.6
2024-10-04T01:00+00:00,476.5875,4470.00625,462.70375,79.9
2024-10-04T02:00+00:00,477.4775,4865.4575,394.3225,72.33
2024-10-04T03:00+00:00,477.955,5638.66375,385.52125,77.1
2024-10-04T04:00+00:00,478.4025,7769.21,375.0825,103
2024-10-04T05:00+00:00,478.2375,9287.0825,379.21,127.08
2024-10-04T06:00+00:00,478.21,10178.75125,500.26875,141.42
2024-10-04T07:00+00:00,478.195,11968.16625,514.85875,116.43
2024-10-04T08:00+00:00,479.2275,13500.26625,563.51625,100.15
2024-10-04T09:00+00:00,482.0225,13413.165,565.2175,83.98
2024-10-04T10:00+00:00,482.58,13429.19625,564.09125,74.13
2024-10-04T11:00+00:00,478.5325,12972.35625,558.08375,71.44
2024-10-04T12:00+00:00,478.505,11897.6675,540.3275,72.44
2024-10-04T13:00+00:00,478.45,10756.77625,449.94875,74.98
2024-10-04T14:00+00:00,478.48,10659.74125,393.54625,85.67
2024-10-04T15:00+00:00,478.41,10745.53125,307.65125,104.42
2024-10-04T16:00+00:00,478.3875,10530.97125,263.93375,129.18
2024-10-04T17:00+00:00,478.3275,10661.02625,238.52125,148
2024-10-04T18:00+00:00,478.295,10423.69,249.165,123.7
2024-10-04T19:00+00:00,478.2825,9700.06375,319.30875,99.9
2024-10-04T20:00+00:00,478.265,8664.38375,459.92625,99.9
2024-10-04T21:00+00:00,478.5425,7605.77875,535.40125,90
2024-10-04T22:00+00:00,478.4825,6468.415,661.8425,93.1
2024-10-04T23:00+00:00,478.515,5471.18875,673.50625,84.64
2024-10-05T00:00+00:00,478.5725,4898.49875,633.20875,81.4
2024-10-05T01:00+00:00,478.635,4411.76125,596.90875,75.54
2024-10-05T02:00+00:00,478.665,4474.83875,463.18875,75.72
2024-10-05T03:00+00:00,478.6325,4886.54875,431.49125,79.82
2024-10-05T04:00+00:00,478.6125,5697.06625,387.26625,86.2
2024-10-05T05:00+00:00,478.515,6123.50125,368.34125,100.4
2024-10-05T06:00+00:00,478.61,7104.20875,436.05625,110.62
2024-10-05T07:00+00:00,478.4525,8876.18125,581.35125,101.73
2024-10-05T08:00+00:00,478.46,10343.1525,786.9875,80.08
2024-10-05T09:00+00:00,478.4475,11968.58125,912.43375,60
2024-10-05T10:00+00:00,478.4725,12902.21875,998.63875,42.21
2024-10-05T11:00+00:00,478.4825,12701.4125,1014.6225,36
2024-10-05T12:00+00:00,478.5,12019.45625,1008.54875,26
2024-10-05T13:00+00:00,478.555,11004.58125,909.75625,56.11
2024-10-05T14:00+00:00,478.6125,9814.765,845.16,72.55
2024-10-05T15:00+00:00,478.7275,9820.315,824.2175,92.55
2024-10-05T16:00+00:00,478.655,10475.7275,1139.9825,138.07
2024-10-05T17:00+00:00,478.77,10440.68,1927.2675,137.97
2024-10-05T18:00+00:00,478.7325,10033.63625,2602.08375,106.35
2024-10-05T19:00+00:00,478.715,8358.46375,3076.92875,94.57
2024-10-05T20:00+00:00,478.63,6854.0975,3426.6175,84.29
2024-10-05T21:00+00:00,478.6675,5557.34875,3410.35625,67
2024-10-05T22:00+00:00,478.7475,4260.965,3338.135,65.12
2024-10-05T23:00+00:00,478.7775,3770.73,3380.4925,60.65
2024-10-06T00:00+00:00,479.0375,3550.1025,2950.585,59.1
2024-10-06T01:00+00:00,479.0875,3676.87125,2691.17875,58.13
2024-10-06T02:00+00:00,479.1525,3517.02125,2762.38375,56.93
2024-10-06T03:00+00:00,479.1225,3488.0525,3146.915,58.13
